File,Line,Event
Mage/Checkout/Model/Type/Multishipping.php,514,checkout_type_multishipping_create_orders_single
Mage/Checkout/Model/Type/Multishipping.php,536,checkout_submit_all_after
Mage/Checkout/Model/Type/Multishipping.php,540,checkout_multishipping_refund_all
Mage/Sendfriend/controllers/ProductController.php,131,sendfriend_product
Mage/Catalog/Block/Product/View.php,194,catalog_product_view_config
Mage/Catalog/Block/Product/List.php,161,catalog_block_product_list_collection
Mage/Catalog/Block/Product/List/Upsell.php,79,catalog_product_upsell
Mage/Catalog/Block/Product/View/Type/Configurable.php,185,catalog_product_type_configurable_price
Mage/Catalog/controllers/CategoryController.php,43,catalog_controller_category_init_before
Mage/Catalog/controllers/CategoryController.php,59,catalog_controller_category_init_after
Mage/Catalog/controllers/Product/CompareController.php,90,catalog_product_compare_add_product
Mage/Catalog/controllers/Product/CompareController.php,129,catalog_product_compare_remove_product
Mage/Catalog/Helper/Output.php,48,catalog_helper_output_construct
Mage/Catalog/Helper/Product/View.php,135,catalog_controller_product_view
Mage/Catalog/Helper/Product.php,290,catalog_controller_product_init_before
Mage/Catalog/Helper/Product.php,332,catalog_controller_product_init
Mage/Catalog/Model/Resource/Layer/Filter/Price.php,172,catalogindex_prepare_price_select
Mage/Catalog/Model/Resource/Layer/Filter/Price.php,177,catalog_prepare_price_select
Mage/Catalog/Model/Resource/Category/Flat/Collection.php,117,$this->_eventPrefix . '_load_before
Mage/Catalog/Model/Resource/Category/Flat/Collection.php,129,$this->_eventPrefix . '_load_after
Mage/Catalog/Model/Resource/Category/Flat/Collection.php,208,$this->_eventPrefix . '_add_is_active_filter
Mage/Catalog/Model/Resource/Category/Tree.php,210,catalog_category_tree_init_inactive_category_ids
Mage/Catalog/Model/Resource/Category/Tree.php,406,catalog_category_tree_move_before
Mage/Catalog/Model/Resource/Category/Tree.php,443,catalog_category_tree_move_after
Mage/Catalog/Model/Resource/Category/Flat.php,205,catalog_category_tree_init_inactive_category_ids
Mage/Catalog/Model/Resource/Category/Flat.php,285,catalog_category_flat_loadnodes_before
Mage/Catalog/Model/Resource/Category/Collection.php,138,$this->_eventPrefix . '_load_before
Mage/Catalog/Model/Resource/Category/Collection.php,150,$this->_eventPrefix . '_load_after
Mage/Catalog/Model/Resource/Category/Collection.php,345,$this->_eventPrefix . '_add_is_active_filter
Mage/Catalog/Model/Resource/Category.php,364,catalog_category_change_products
Mage/Catalog/Model/Resource/Product/Flat/Indexer.php,437,catalog_product_flat_prepare_columns
Mage/Catalog/Model/Resource/Product/Flat/Indexer.php,497,catalog_product_flat_prepare_indexes
Mage/Catalog/Model/Resource/Product/Flat/Indexer.php,1038,catalog_product_flat_rebuild
Mage/Catalog/Model/Resource/Product/Flat/Indexer.php,1281,catalog_product_flat_update_product
Mage/Catalog/Model/Resource/Product/Indexer/Price/Grouped.php,125,catalog_product_prepare_index_select
Mage/Catalog/Model/Resource/Product/Indexer/Price/Default.php,279,prepare_catalog_product_index_select
Mage/Catalog/Model/Resource/Product/Indexer/Price/Default.php,296,prepare_catalog_product_price_index_table
Mage/Catalog/Model/Resource/Product/Indexer/Eav/Decimal.php,98,prepare_catalog_product_index_select
Mage/Catalog/Model/Resource/Product/Indexer/Eav/Source.php,154,prepare_catalog_product_index_select
Mage/Catalog/Model/Resource/Product/Indexer/Eav/Source.php,228,prepare_catalog_product_index_select
Mage/Catalog/Model/Resource/Product/Indexer/Eav/Abstract.php,208,prepare_catalog_product_index_select
Mage/Catalog/Model/Resource/Product/Compare/Item/Collection.php,315,catalog_product_compare_item_collection_clear
Mage/Catalog/Model/Resource/Product/Collection.php,247,catalog_prepare_price_select
Mage/Catalog/Model/Resource/Product/Collection.php,506,catalog_product_collection_load_before
Mage/Catalog/Model/Resource/Product/Collection.php,526,catalog_product_collection_load_after
Mage/Catalog/Model/Resource/Product/Collection.php,1026,catalog_product_collection_before_add_count_to_categories
Mage/Catalog/Model/Resource/Product/Collection.php,1859,catalog_product_collection_apply_limitations_after
Mage/Catalog/Model/Convert/Adapter/Product.php,837,$this->_eventPrefix . '_after
Mage/Catalog/Model/Category.php,229,catalog_category_tree_move_before
Mage/Catalog/Model/Category.php,230,$this->_eventPrefix.'_move_before
Mage/Catalog/Model/Category.php,234,$this->_eventPrefix.'_move_after
Mage/Catalog/Model/Category.php,247,category_move
Mage/Catalog/Model/Product/Action.php,66,catalog_product_attribute_update_before
